id,Price
0,16356745.080000002
1,11912864.339999996
2,9311561.61
3,2901272.8680000007
4,8092536.285600001
5,8394053.3352
6,4594540.86
7,2562822.6
8,9646458.6348
9,14659840.26
10,5304565.459439996
11,12161134.018800002
12,20271984.682560008
13,13043101.858800001
14,13756012.920000002
15,3275085.9679200007
16,10036259.10612
17,2558012.028
18,10345108.410000002
19,4207988.1324
20,16025478.955200002
21,14149163.808
22,6006163.644000002
23,9844841.314285714
24,4845410.2632
25,11264802.9312
26,26438732.0964
27,14176440.3144
28,18517787.440508574
29,9018914.330400001
30,18229361.1552
31,11926380.832080001
32,4130134.8191999984
33,6753977.287199999
34,9297558.686
35,24827813.805599965
36,19448469.471599996
37,14375781.763199996
38,14557070.970000006
39,4263235.610399998
40,9169020.478799999
41,8654154.53136
42,15024987.987359999
43,14488617.686400004
44,18316700.665714286
45,6737032.691999998
46,7782501.440999999
47,6181589.7623999985
48,2429098.776000001
49,2123723.7840000023
50,5891606.2296
51,7980830.535599999
52,10859911.16496001
53,10348441.131600004
54,3032527.0872000004
55,16389629.177999998
56,4200247.6464
57,14046598.7376
58,9521188.7316
59,4880210.5872
60,4966624.8216
61,3424491.1896
62,11194265.955599999
63,3185099.817119998
64,5838820.649999994
65,10854521.012399998
66,19203885.615720004
67,7608011.20560001
68,9160905.444822857
69,20974059.241199996
70,12494534.223599998
71,9603575.186400004
72,8335877.425200001
73,13065746.014285715
74,4124525.7456000005
75,16406540.28
76,15605388.864
77,5039555.227199997
78,20226060.6444
79,4973976.85422857
80,2603674.819200001
81,16984012.546800002
82,9311561.61
83,15860548.360800011
84,16389629.177999998
85,16202649.684000008
86,6049285.990799999
87,20285844.05016002
88,14148932.616000002
89,5094488.224800001
90,3687099.5148
91,12541873.008600006
92,13494885.705599999
93,21328245.088799983
94,11399630.074559998
95,12091060.6128
96,29295376.905600034
97,9974321.4948
98,6578381.627999999
99,13093881.996
100,9158309.582091428
101,14650414.739999995
102,17439847.588800002
103,3981947.8607999994
104,6737032.691999998
105,6502644.017999998
106,8205850.450200003
107,4541126.615999999
108,9655260.952628583
109,8620254.61128
110,8092536.285600001
111,9247512.534
112,9297558.686
113,6523052.047199999
114,6468588.5472
115,6107523.552
116,4432218.860828572
117,9441789.184285717
118,15743028.546960013
119,18814404.0708
120,7231482.726
121,8637497.547899999
122,19252790.3412
123,13702989.924
124,19784205.604799997
125,10116610.26257143
126,6724101.945599999
127,15409015.268399999
128,3021013.7256
129,3655323.36
130,5964962.562000001
131,6655584.639599998
132,4275652.5474000005
133,6006690.939600002
134,5885890.4520000005
135,2969999.9828571426
136,9221365.311600002
137,11915565.729600001
138,9784168.505280003
139,4972660.7112
140,9679483.52279999
141,4313284.2324
142,11211619.55316
143,12251842.2
